actual_squared_residual,atomic_pattern,case_grid_seconds,certificate,certificate_ratio_to_reference,coverage_slack,covered,degree,error,family,name,raw_certificate_excess,reference_atomic_pattern,reference_certificate,seconds,solver,status,success
1.6683153670104745e-10,False,2.4590318750124425,6.91403668540147e-07,20263.72672844648,5.0407730988186874e-12,True,4,,two_point,two_point_k100_2,-6.91236837003446e-07,True,3.412026217120001e-11,0.2481307500274852,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
1.9245960044069718e-08,False,2.4590318750124425,3.133672858979253e-07,9184.199239900041,8.889700847133827e-13,True,6,,two_point,two_point_k100_2,-2.9412132585385556e-07,True,3.412026217120001e-11,0.6342536250012927,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
3.1156983544175653e-09,False,2.4590318750124425,1.8088298059382169e-07,5301.336188046647,9.303282924471879e-13,True,8,,two_point,two_point_k100_2,-1.7776728223940412e-07,True,3.412026217120001e-11,1.5186092089861631,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
0.0,False,2.1298383329994977,1.709565822238801e-11,0.5008326394671108,6.836813852828769e-11,True,2,,two_point,two_point_k100_3,-1.709565822238801e-11,True,3.413447302591521e-11,9.40409954637289e-05,linear algebra,exact degree-two moment calculation,True
8.808116003485929e-19,False,2.1298383329994977,7.516461252521367e-06,220201.47335553705,7.177762354120416e-11,True,3,,two_point,two_point_k100_3,-7.516461252520486e-06,True,3.413447302591521e-11,0.09041245799744502,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
5.093956518924795e-09,False,2.1298383329994977,6.60432363019936e-07,19347.958368026644,5.099931046624512e-12,True,4,,two_point,two_point_k100_3,-6.553384065010112e-07,True,3.413447302591521e-11,0.26363575004506856,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
8.482331522816844e-10,False,2.1298383329994977,1.80523640480601e-07,5288.601946294754,8.897106568443844e-13,True,6,,two_point,two_point_k100_3,-1.796754073283193e-07,True,3.413447302591521e-11,0.5958995000110008,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
1.2397056817924227e-07,False,2.1298383329994977,3.198748146360231e-07,9371.019567027477,1.2707025393450486e-12,True,8,,two_point,two_point_k100_3,-1.959042464567808e-07,True,3.413447302591521e-11,1.179361374990549,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
2.9335704294562477e-18,False,2.654192709014751,1.7680577002465725e-09,0.49922958397534667,7.077138074381606e-09,True,2,,two_point,two_point_k1000_0,-1.768057697313002e-09,True,3.5415723687037826e-09,8.820800576359034e-05,linear algebra,exact degree-two moment calculation,True
9.77911095002952e-07,False,2.654192709014751,1.2868049645842206e-06,363.34284058557637,3.192508385371789e-12,True,3,,two_point,two_point_k1000_0,-3.0889386958126854e-07,True,3.5415723687037826e-09,0.12796770897693932,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
8.748142121510632e-07,False,2.654192709014751,2.597435482698529e-06,733.4130754044684,1.3563238145704531e-11,True,4,,two_point,two_point_k1000_0,-1.7226212705474659e-06,True,3.5415723687037826e-09,0.2356793750077486,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
3.9086109125976185e-07,False,2.654192709014751,1.4007548372774181e-05,3955.1777895480227,1.0292817417097965e-10,True,6,,two_point,two_point_k1000_0,-1.361668728151442e-05,True,3.5415723687037826e-09,0.627342916035559,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
6.616851153179094e-07,False,2.654192709014751,2.725651683022079e-06,769.6162605932203,1.029670788678794e-11,True,8,,two_point,two_point_k1000_0,-2.0639665677041694e-06,True,3.5415723687037826e-09,1.662409667042084,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
5.650812391972594e-24,False,3.149066042038612,1.7671482055447996e-09,0.49948586118251925,7.0771619392047584e-09,True,2,,two_point,two_point_k1000_1,-1.767148205544794e-09,True,3.537934389896691e-09,0.0001189160393550992,linear algebra,exact degree-two moment calculation,True
1.7488491332712334e-16,False,3.149066042038612,0.017476637003710493,4939785.501285347,1.7269152982191467e-07,True,3,,two_point,two_point_k1000_1,-0.01747663700371032,True,3.537934389896691e-09,0.17509716702625155,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
2.169693319614937e-10,False,3.149066042038612,7.172894652285322e-05,20274.24440874036,5.573164916520546e-10,True,4,,two_point,two_point_k1000_1,-7.172872955352126e-05,True,3.537934389896691e-09,0.28511441696900874,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
6.250347153011832e-05,False,3.149066042038612,8.191315862404736e-05,23152.82014781491,1.0240065979482617e-10,True,6,,two_point,two_point_k1000_1,-1.9409687093929038e-05,True,3.537934389896691e-09,0.9511237079859711,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
1.8641488966068807e-07,False,3.149066042038612,9.78371699602576e-05,27653.754755784063,7.589641229979599e-10,True,8,,two_point,two_point_k1000_1,-9.765075507059691e-05,True,3.537934389896691e-09,1.7370098329847679,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
1.589729103469667e-16,False,2.317010125028901,1.7544152797199786e-09,0.49754965179262317,7.077324889108613e-09,True,2,,two_point,two_point_k1000_2,-1.7544151207470682e-09,True,3.5261109587736428e-09,9.037501877173781e-05,linear algebra,exact degree-two moment calculation,True
