actual_squared_residual,certificate,certificate_passed,chebyshev_budget,converged,coverage_slack,covered,family,hessian_product_saving,name,raw_certificate_excess,reference_certificate_passed,reference_selected_degree,same_acceptance_decision_as_reference,selected_degree,tolerance
5.974750577685468e-13,1e-12,False,73,True,1.1368683772188354e-13,True,three_cluster,0.0,three_cluster_k100_2,-4.025249422314532e-13,False,73,True,73,1e-06
5.872859383260088e-05,0.0001,False,27,True,1.137138293764533e-13,True,three_cluster,0.0,three_cluster_k100_3,-4.1271406167399124e-05,False,27,True,27,0.01
5.44290666346013e-09,1e-08,False,50,True,1.1368684035377262e-13,True,three_cluster,0.0,three_cluster_k100_3,-4.5570933365398704e-09,False,50,True,50,0.0001
4.942724001429875e-13,1e-12,False,73,True,1.136868377218718e-13,True,three_cluster,0.0,three_cluster_k100_3,-5.057275998570125e-13,False,73,True,73,1e-06
8.259815615355848e-05,0.0001,False,84,True,1.1371860505613437e-13,True,three_cluster,0.0,three_cluster_k1000_0,-1.7401843846441526e-05,False,84,True,84,0.01
8.35906298050065e-09,1e-08,False,157,True,1.1368684088079888e-13,True,three_cluster,0.0,three_cluster_k1000_0,-1.6409370194993496e-09,False,157,True,157,0.0001
8.006649538745638e-13,1e-12,False,230,True,1.1368683772192514e-13,True,three_cluster,0.0,three_cluster_k1000_0,-1.9933504612543614e-13,False,230,True,230,1e-06
6.769927403356349e-05,0.0001,False,84,True,1.1371691124934056e-13,True,three_cluster,0.0,three_cluster_k1000_1,-3.2300725966436514e-05,False,84,True,84,0.01
5.664124550161893e-09,1e-08,False,157,True,1.1368684057441984e-13,True,three_cluster,0.0,three_cluster_k1000_1,-4.3358754498381074e-09,False,157,True,157,0.0001
6.075645961746352e-13,1e-12,False,230,True,1.1368683772190318e-13,True,three_cluster,0.0,three_cluster_k1000_1,-3.9243540382536476e-13,False,230,True,230,1e-06
7.512987011186178e-05,0.0001,False,84,True,1.1371775601031108e-13,True,three_cluster,0.0,three_cluster_k1000_2,-2.487012988813822e-05,False,84,True,84,0.01
7.074720301190355e-09,1e-08,False,157,True,1.1368684073478602e-13,True,three_cluster,0.0,three_cluster_k1000_2,-2.9252796988096453e-09,False,157,True,157,0.0001
7.170765086283852e-13,1e-12,False,230,True,1.1368683772191562e-13,True,three_cluster,0.0,three_cluster_k1000_2,-2.829234913716148e-13,False,230,True,230,1e-06
6.759375816274628e-05,0.0001,False,84,True,1.1371689925357486e-13,True,three_cluster,0.0,three_cluster_k1000_3,-3.240624183725373e-05,False,84,True,84,0.01
5.9930323157072034e-09,1e-08,False,157,True,1.1368684061181233e-13,True,three_cluster,0.0,three_cluster_k1000_3,-4.006967684292797e-09,False,157,True,157,0.0001
5.873003316194346e-13,1e-12,False,230,True,1.1368683772190088e-13,True,three_cluster,0.0,three_cluster_k1000_3,-4.1269966838056537e-13,False,230,True,230,1e-06
1.4326987920927358e-05,2.9157638355852003e-05,True,9,True,1.137501992398022e-13,True,log_uniform,0.11111111111111116,log_uniform_k10_0,-1.4830650434924645e-05,True,8,True,8,0.01
1.2642441277050746e-09,1e-08,False,16,True,1.136868393622462e-13,True,log_uniform,0.0,log_uniform_k10_0,-8.735755872294925e-09,False,16,True,16,0.0001
1.6461543170656002e-13,1e-12,False,23,True,1.1368683772178597e-13,True,log_uniform,0.0,log_uniform_k10_0,-8.3538456829344e-13,False,23,True,23,1e-06
4.934691722906502e-05,9.267275011190325e-05,True,9,True,1.137315819856795e-13,True,log_uniform,0.11111111111111116,log_uniform_k10_1,-4.3325832882838235e-05,True,8,True,8,0.01
1.6447803927570797e-09,1e-08,False,16,True,1.1368683940550817e-13,True,log_uniform,0.0,log_uniform_k10_1,-8.35521960724292e-09,False,16,True,16,0.0001
1.640010264797427e-13,1e-12,False,23,True,1.1368683772178592e-13,True,log_uniform,0.0,log_uniform_k10_1,-8.359989735202573e-13,False,23,True,23,1e-06
1.3685518964470761e-05,2.5513038499395686e-05,True,9,True,1.137513229450533e-13,True,log_uniform,0.11111111111111116,log_uniform_k10_2,-1.1827519534924925e-05,True,8,True,8,0.01
1.5946501058064101e-09,1e-08,False,16,True,1.1368683939980903e-13,True,log_uniform,0.0,log_uniform_k10_2,-8.40534989419359e-09,False,16,True,16,0.0001
1.8234476546062535e-13,1e-12,False,23,True,1.13686837721788e-13,True,log_uniform,0.0,log_uniform_k10_2,-8.176552345393746e-13,False,23,True,23,1e-06
3.922437634517678e-05,8.798667768603741e-05,True,9,True,1.1375157229444453e-13,True,log_uniform,0.11111111111111116,log_uniform_k10_3,-4.876230134086063e-05,True,8,True,8,0.01
1.547208575610256e-09,1e-08,False,16,True,1.1368683939441555e-13,True,log_uniform,0.0,log_uniform_k10_3,-8.452791424389744e-09,False,16,True,16,0.0001
1.7275130339285245e-13,1e-12,False,23,True,1.136868377217869e-13,True,log_uniform,0.0,log_uniform_k10_3,-8.272486966071476e-13,False,23,True,23,1e-06
5.4313029566522624e-05,0.0001,False,27,True,1.1371332738491514e-13,True,log_uniform,0.0,log_uniform_k100_0,-4.568697043347738e-05,False,27,True,27,0.01
3.5290063900256685e-09,1e-08,False,50,True,1.1368684013618736e-13,True,log_uniform,0.0,log_uniform_k100_0,-6.470993609974332e-09,False,50,True,50,0.0001
4.1228279933224137e-13,1e-12,False,73,True,1.1368683772186248e-13,True,log_uniform,0.0,log_uniform_k100_0,-5.877172006677586e-13,False,73,True,73,1e-06
4.044836306163225e-05,0.0001,False,27,True,1.1371175115482413e-13,True,log_uniform,0.0,log_uniform_k100_1,-5.955163693836776e-05,False,27,True,27,0.01
3.887719081903265e-09,1e-08,False,50,True,1.1368684017696827e-13,True,log_uniform,0.0,log_uniform_k100_1,-6.1122809180967354e-09,False,50,True,50,0.0001
3.761064442518211e-13,1e-12,False,73,True,1.1368683772185837e-13,True,log_uniform,0.0,log_uniform_k100_1,-6.238935557481789e-13,False,73,True,73,1e-06
5.0021804741650245e-05,0.0001,False,27,True,1.1371283952913485e-13,True,log_uniform,0.0,log_uniform_k100_2,-4.997819525834976e-05,False,27,True,27,0.01
4.51831389434919e-09,1e-08,False,50,True,1.136868402486586e-13,True,log_uniform,0.0,log_uniform_k100_2,-5.48168610565081e-09,False,50,True,50,0.0001
3.28134874027076e-13,1e-12,False,73,True,1.1368683772185292e-13,True,log_uniform,0.0,log_uniform_k100_2,-6.71865125972924e-13,False,73,True,73,1e-06
4.1860736900608536e-05,0.0001,False,27,True,1.1371191172313957e-13,True,log_uniform,0.0,log_uniform_k100_3,-5.813926309939147e-05,False,27,True,27,0.01
3.6594683476308673e-09,1e-08,False,50,True,1.1368684015101916e-13,True,log_uniform,0.0,log_uniform_k100_3,-6.340531652369133e-09,False,50,True,50,0.0001
3.576348789188364e-13,1e-12,False,73,True,1.1368683772185627e-13,True,log_uniform,0.0,log_uniform_k100_3,-6.423651210811636e-13,False,73,True,73,1e-06
3.8646761435722887e-05,0.0001,False,84,True,1.1371360836105544e-13,True,log_uniform,0.0,log_uniform_k1000_0,-6.135323856427712e-05,False,84,True,84,0.01
4.2451243047094544e-09,1e-08,False,157,True,1.136868404130982e-13,True,log_uniform,0.0,log_uniform_k1000_0,-5.754875695290546e-09,False,157,True,157,0.0001
4.376820874256981e-13,1e-12,False,230,True,1.1368683772188386e-13,True,log_uniform,0.0,log_uniform_k1000_0,-5.623179125743018e-13,False,230,True,230,1e-06
4.518102325671246e-05,0.0001,False,84,True,1.137143512206187e-13,True,log_uniform,0.0,log_uniform_k1000_1,-5.4818976743287545e-05,False,84,True,84,0.01
