system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,weyl_lower,weyl_upper,exact_lower,exact_upper,weyl_condition_number,exact_condition_number,interval_chebyshev_degree,maximum_control_fraction,newton_decrement_half
802,damped_oscillator,20,3,2,9,0.01,0.05272204918187591,139.5464887508856,0.05389611502098223,137.01074178753657,2646.8335528744406,2542.1264915698857,95,0.991443838476544,4.0452333240937725e-06
803,damped_oscillator,20,3,2,10,0.01,0.052722078163132,132.13725469501742,0.053896216662328515,129.6021300404521,2506.2982966293544,2404.6609960108617,93,0.991201901157396,4.4654561512124495e-09
804,damped_oscillator,20,4,0,0,0.1,0.23252315757065364,3.1466874495213575,0.23252315757065373,3.146687449521357,13.532791668568393,13.532791668568388,7,0.0,8.52309642614303
805,damped_oscillator,20,4,0,1,0.1,0.2325240039771387,4002.971812919832,0.23312660937195548,4000.4295779693402,17215.305708022282,17159.901174501367,242,0.995,1.8252807372014002
806,damped_oscillator,20,4,0,2,0.1,0.23292665509804558,14604.322027057742,0.23450678288035798,14601.761657989124,62699.23045479857,62265.83930170896,462,0.9973830014001863,0.19489258892222966
807,damped_oscillator,20,4,0,3,0.1,0.23344381565236214,3734.296649790457,0.2356334484941512,3731.736508909249,15996.554200225484,15837.040678042264,234,0.994823115558145,0.12970789086460288
808,damped_oscillator,20,4,0,4,0.1,0.23349467367699855,973.1981451950624,0.2357236830178089,970.6388777129482,4167.967216851044,4117.697743758808,120,0.9898477220247686,0.1124504437742651
809,damped_oscillator,20,4,0,5,0.1,0.23351911005993886,264.07058929870396,0.23576915460677333,261.5145608322045,1130.830745419179,1109.197516818392,62,0.9804296816519142,0.08857669325899342
810,damped_oscillator,20,4,0,6,0.1,0.23355395975629875,78.20065647629623,0.23583341462021876,75.65613633585734,334.82907572149276,320.8032943834207,34,0.9635405469129409,0.06055154493094089
811,damped_oscillator,20,4,0,7,0.1,0.2335975869329291,27.710481884579405,0.23591252806367555,25.207001451802576,118.62486358874796,106.84893107922997,21,0.9364192888205345,0.032566149226675965
812,damped_oscillator,20,4,0,8,0.1,0.23364421338199112,13.365894134617479,0.23599556250059867,11.398958428285303,57.20618516994993,48.30157951913348,14,0.9019021250772029,0.009839235276544834
813,damped_oscillator,20,4,0,9,0.1,0.23368252305825166,13.560466315898935,0.23606286211710495,11.182154248961446,58.029441562125825,47.36939198599674,14,0.9028079418930168,0.0008551845542014574
814,damped_oscillator,20,4,0,10,0.1,0.23369742619151018,13.647451742930311,0.23608883378665385,11.256624182394944,58.39795484844796,47.67961280442092,15,0.9032048588071835,6.686970190392339e-06
815,damped_oscillator,20,4,0,11,0.1,0.23369886458576508,13.655576661796843,0.23609133204937224,11.263906146663114,58.43236203137558,47.709952114241815,15,0.9032416851771982,1.059405732769403e-09
816,damped_oscillator,20,4,1,0,0.03,0.09287587506258135,6.159384359036812,0.09429635841183195,4.441237923049226,66.31845304161617,47.09872149730817,15,0.9032421403695191,0.20875433459548937
817,damped_oscillator,20,4,1,1,0.03,0.09266559276876157,128179.55214417574,0.09415843443458571,128177.0097509028,1383248.607323281,1361290.7916385406,2169,0.9995162107018476,0.03329780684278144
818,damped_oscillator,20,4,1,2,0.03,0.0927340964982002,32637.106753899203,0.09429874662775423,32634.564375559807,351942.89895877324,346076.33232268994,1095,0.9990412078765135,0.020776616540285727
819,damped_oscillator,20,4,1,3,0.03,0.09288562247591702,8422.917131401071,0.09432893387759467,8420.37481072955,90680.52629549777,89266.08692149744,556,0.9981124192587854,0.015399791452317659
820,damped_oscillator,20,4,1,4,0.03,0.092889857107498,2233.168115988673,0.09434009215716065,2230.626011737815,24041.032955883547,23644.518048825175,286,0.9963323543625008,0.012329570388284992
821,damped_oscillator,20,4,1,5,0.03,0.09289206787971305,624.7798801675721,0.0943459324622894,622.2385467255153,6725.869005054407,6595.287475421663,152,0.9930541353778286,0.009777636312418448
822,damped_oscillator,20,4,1,6,0.03,0.09289375773490693,194.23171113394326,0.0943504099241987,191.69288561839207,2090.901647968928,2031.7122710160825,85,0.9874764122057984,0.006370622043337576
823,damped_oscillator,20,4,1,7,0.03,0.09289597741329654,73.3825701629169,0.09435628544836915,70.85076781025239,789.9434637135686,750.8855130697282,52,0.9793610663760145,0.0027031618341539325
824,damped_oscillator,20,4,1,8,0.03,0.09289836769294413,37.80234515456258,0.09436259798347633,35.285711913952,406.92152180230147,373.9374780687028,38,0.9706591887462455,0.0004866901056616267
825,damped_oscillator,20,4,1,9,0.03,0.0928998150888534,28.042391767916612,0.09436641278121029,25.54424552766533,301.8562710926352,270.69213266472235,33,0.965419748878883,1.612339826596694e-05
826,damped_oscillator,20,4,1,10,0.03,0.09290012631821022,26.48986943701923,0.09436723223477388,23.99791539142937,285.1435244154959,254.303478263785,32,0.9642974059374397,2.2211851717128807e-08
827,damped_oscillator,20,4,2,0,0.01,0.05264881779985087,10.775553975870206,0.05354252940256748,8.43094992949213,204.66848879369766,157.46267543886051,27,0.9642544111253639,0.07528311631730808
828,damped_oscillator,20,4,2,1,0.01,0.05252316088684143,33.94361313879206,0.05348227752246894,31.434546468659736,646.2599083082966,587.756317136148,47,0.9820378415904953,0.012058777046095528
829,damped_oscillator,20,4,2,2,0.01,0.05262933653667094,76.95927465543194,0.053419511958703016,74.43196428562528,1462.288520430206,1393.347890245915,71,0.9883760260491763,0.0013374848509171483
830,damped_oscillator,20,4,2,3,0.01,0.05263288987595384,62.353659400590466,0.05343395171061647,59.829188281014126,1184.69002077497,1119.6848888330867,64,0.9870255024059567,5.6533480439275395e-05
831,damped_oscillator,20,4,2,4,0.01,0.05263363315793121,60.88102824346965,0.05343691360131303,58.35675577639628,1156.6943908430471,1092.0682323045387,63,0.986861630850737,1.6789683756565234e-07
832,damped_oscillator,20,5,0,0,0.1,0.23252315757065364,3.1466874495213575,0.23252315757065373,3.146687449521357,13.532791668568393,13.532791668568388,7,0.0,7.982890292428922
833,damped_oscillator,20,5,0,1,0.1,0.23252839214433732,4002.971812920009,0.23277859464908254,4000.4295832345224,17214.98082881528,17185.556039915242,242,0.9950000000000001,0.1477747966376837
834,damped_oscillator,20,5,0,2,0.1,0.23265011922548157,1027.1337364990272,0.23316565482888194,1024.5919991301496,4414.928906627992,4394.266384910282,123,0.9901186629462002,0.10237180256751247
835,damped_oscillator,20,5,0,3,0.1,0.2326874768636286,270.8845195675592,0.23326146972616743,268.34467521740123,1164.155988189759,1150.4029170887889,63,0.980680154922949,0.07684144113125713
836,damped_oscillator,20,5,0,4,0.1,0.2326245386765512,76.18047260576687,0.23333152612902341,73.64776619548573,327.48253060134255,315.6357283445758,34,0.9630409143468931,0.05394172076565237
837,damped_oscillator,20,5,0,5,0.1,0.23257682233298918,24.819043832565363,0.23339500571331204,22.31337743860047,106.7133155557134,95.60349147320161,19,0.932342139665325,0.02993024395172435
838,damped_oscillator,20,5,0,6,0.1,0.2325430316755187,10.719915980497513,0.23346013070185515,8.331970829788176,46.0986334583255,35.68905236512818,13,0.8863718970243238,0.010954350701121583
839,damped_oscillator,20,5,0,7,0.1,0.23252835116462267,6.68295934487524,0.23350947023860366,4.910637037357988,28.74040654141102,21.02971255230129,10,0.8357473992456834,0.001892835595702826
840,damped_oscillator,20,5,0,8,0.1,0.23252472406718538,5.608458487967599,0.23353235624121335,4.534899506077535,24.119837193515384,19.41872029670047,9,0.8050455989734657,5.911255278538417e-05
841,damped_oscillator,20,5,0,9,0.1,0.2325242538937638,5.445138554082093,0.23353692247783497,4.50479825368301,23.417507906809067,19.28944770654225,9,0.7986888951194219,7.015103751521915e-08
842,damped_oscillator,20,5,1,0,0.03,0.0925234819190433,3.6945700659325684,0.09298365417329088,3.3579848246919246,39.93116114204676,36.11371110919934,12,0.7984634767468549,0.08749599270438402
843,damped_oscillator,20,5,1,1,0.03,0.09252678456894337,9.201769096277259,0.09292231920424024,7.031671610313185,99.4497878548979,75.67257974758249,19,0.9307015203346125,0.00613296530310381
844,damped_oscillator,20,5,1,2,0.03,0.09252340259597774,6.258373112175509,0.0930040201037225,4.7078628135536755,67.64097446247159,50.619992644438845,16,0.9047030575021835,0.00047277674946465684
845,damped_oscillator,20,5,1,3,0.03,0.0925246665687818,5.571550650283033,0.09302580197226684,4.3560118927291125,60.21692222085669,46.825846167149855,15,0.8929218077032897,4.489915166009969e-06
846,damped_oscillator,20,5,1,4,0.03,0.09252484193032301,5.499645455889258,0.09302767741307538,4.329766500726737,59.43966335042037,46.5427776026382,15,0.8914191493453995,1.1579099013195646e-09
