repeat,system,method,products,accepted_degree_two,total_ns
0,215,cg,2,False,10458
3,160,interval_chebyshev,232,False,651625
1,84,cg,3,False,15084
3,201,certificate,2,True,34167
1,222,interval_chebyshev,1616,False,4563708
1,125,certificate,2,True,33416
3,55,certificate,2,True,37000
1,48,direct,0,False,10209
2,171,interval_chebyshev,18,False,54917
3,58,cg,1,False,10041
0,177,cg,4,False,18083
2,13,cg,7,False,27541
2,99,cost_gated_certificate,16,False,48667
4,60,cost_gated_certificate,2,True,33958
0,151,cg,1,False,7917
4,9,direct,0,False,11208
1,145,cg,10,False,37958
4,189,certificate,27,False,103541
4,116,interval_chebyshev,13087,False,37215084
2,135,cg,6,False,29666
4,153,interval_chebyshev,174,False,490167
2,18,interval_chebyshev,832,False,2343292
3,49,cg,9,False,34916
1,140,direct,0,False,11708
3,69,cg,5,False,21125
2,128,cg,11,False,41375
0,49,direct,0,False,7042
2,129,direct,0,False,7125
3,120,cost_gated_certificate,2,True,40000
3,171,cg,3,False,14334
0,82,cost_gated_certificate,77,False,245709
3,105,direct,0,False,7792
3,205,certificate,22,False,101542
1,130,cg,12,False,46250
1,50,cost_gated_certificate,61,False,200125
4,195,direct,0,False,9500
0,7,cost_gated_certificate,2,True,35000
1,174,cg,3,False,14916
1,103,cost_gated_certificate,431,False,1250792
4,215,cg,2,False,10833
0,151,certificate,2,True,32500
0,35,cost_gated_certificate,2,True,36000
0,73,cg,8,False,32791
3,150,cost_gated_certificate,2,True,35875
3,113,direct,0,False,7750
1,80,certificate,82,False,263375
4,128,cg,11,False,42208
3,47,direct,0,False,10458
1,81,cost_gated_certificate,82,False,258083
0,118,interval_chebyshev,3316,False,9365750
0,134,cost_gated_certificate,535,False,1537708
4,203,certificate,28,False,105000
0,114,interval_chebyshev,75,False,211917
4,184,cg,4,False,18667
0,34,cg,1,False,8459
4,173,interval_chebyshev,28,False,80375
3,155,interval_chebyshev,108,False,303916
4,89,cost_gated_certificate,2,True,32209
2,218,cost_gated_certificate,2,True,33042
3,152,cg,1,False,7375
0,34,direct,0,False,6916
3,21,cost_gated_certificate,2,True,32625
1,120,direct,0,False,7041
2,112,cg,12,False,49375
0,99,cg,2,False,9625
0,136,direct,0,False,6917
2,209,interval_chebyshev,2647,False,7559375
1,97,cost_gated_certificate,443,False,1395583
0,102,interval_chebyshev,576,False,1763958
2,214,cg,1,False,21000
2,41,interval_chebyshev,435,False,1261375
3,155,cost_gated_certificate,2,True,72500
4,87,cost_gated_certificate,2,True,42250
4,72,cost_gated_certificate,324,False,948250
1,189,certificate,27,False,104917
3,110,certificate,73,False,230583
3,217,cost_gated_certificate,2,True,34459
3,126,interval_chebyshev,164,False,456458
3,152,interval_chebyshev,282,False,802333
3,41,certificate,435,False,1232167
2,157,direct,0,False,13125
2,19,direct,0,False,8291
2,24,cg,1,False,9708
2,79,interval_chebyshev,82,False,235583
4,109,direct,0,False,8000
2,49,cg,9,False,35209
3,41,cost_gated_certificate,435,False,1261125
1,172,direct,0,False,8167
4,11,interval_chebyshev,39,False,115625
2,181,cost_gated_certificate,17,False,51334
4,3,cost_gated_certificate,597,False,1724875
1,143,interval_chebyshev,43,False,124625
3,143,interval_chebyshev,43,False,123250
3,5,certificate,206,False,605584
2,220,cg,2,False,11541
0,67,interval_chebyshev,16,False,48334
3,19,cg,1,False,6750
4,219,cg,6,False,24750
3,107,cg,4,False,17792
1,1,interval_chebyshev,248,False,707791
4,129,cg,12,False,44417
1,197,cost_gated_certificate,248,False,735208
3,109,cg,8,False,31333
1,129,cost_gated_certificate,489,False,1427750
3,158,interval_chebyshev,167,False,472250
1,13,interval_chebyshev,39,False,111959
2,78,cg,10,False,38625
0,35,interval_chebyshev,229,False,647292
0,130,certificate,469,False,1351917
3,132,interval_chebyshev,16,False,47209
4,48,certificate,63,False,205959
3,168,interval_chebyshev,20,False,58875
4,102,direct,0,False,7333
1,207,cost_gated_certificate,22,False,89208
0,80,cost_gated_certificate,82,False,254875
4,141,cg,7,False,29334
2,164,cost_gated_certificate,2,True,36500
0,145,certificate,43,False,154459
4,153,direct,0,False,7250
3,186,interval_chebyshev,27,False,79750
2,107,cost_gated_certificate,138,False,419583
4,67,certificate,2,True,31875
1,48,cost_gated_certificate,63,False,202625
3,186,direct,0,False,7167
4,132,direct,0,False,6792
0,138,direct,0,False,6958
1,188,certificate,27,False,102500
2,205,direct,0,False,7417
0,12,interval_chebyshev,39,False,115541
4,145,cost_gated_certificate,43,False,146208
2,45,certificate,62,False,204583
1,85,interval_chebyshev,3287,False,9277083
0,32,cg,1,False,8000
0,160,certificate,232,False,681292
2,204,direct,0,False,7750
4,45,direct,0,False,6542
1,70,cost_gated_certificate,451,False,1291875
3,57,interval_chebyshev,257,False,732792
0,17,direct,0,False,7333
4,128,direct,0,False,6958
3,229,direct,0,False,6833
4,77,certificate,81,False,255666
2,120,cg,2,False,11292
4,59,interval_chebyshev,166,False,468417
2,96,certificate,463,False,1338417
1,30,cost_gated_certificate,2,True,33458
2,175,certificate,37,False,130542
3,185,certificate,26,False,98958
0,57,direct,0,False,7083
0,229,interval_chebyshev,97,False,279333
0,105,direct,0,False,7041
3,42,interval_chebyshev,217,False,620708
0,43,certificate,2,True,31542
0,176,certificate,38,False,133416
3,46,cost_gated_certificate,62,False,197208
0,154,cost_gated_certificate,2,True,31750
1,140,cost_gated_certificate,2,True,32375
3,202,certificate,2,True,31792
4,49,interval_chebyshev,63,False,180291
3,222,certificate,2,True,33584
1,63,cg,10,False,42250
1,112,direct,0,False,7625
4,14,direct,0,False,6916
0,147,cost_gated_certificate,2,True,35208
0,41,certificate,435,False,1253166
0,140,direct,0,False,7083
3,108,interval_chebyshev,72,False,207000
0,158,certificate,167,False,495500
1,121,direct,0,False,7209
0,214,cg,1,False,7583
4,53,certificate,2,True,32167
4,210,interval_chebyshev,1337,False,3836959
4,172,interval_chebyshev,27,False,79208
4,168,direct,0,False,7792
3,87,cg,2,False,11125
4,137,direct,0,False,7500
3,32,cg,1,False,7000
0,169,direct,0,False,6708
2,129,cost_gated_certificate,489,False,1406791
1,63,certificate,475,False,1368375
0,90,interval_chebyshev,236,False,662542
1,43,cost_gated_certificate,2,True,31584
0,104,cg,10,False,39042
0,208,cost_gated_certificate,29,False,108000
2,36,cg,2,False,11083
2,32,direct,0,False,10333
3,92,interval_chebyshev,204,False,575291
2,193,interval_chebyshev,40,False,115125
3,223,certificate,2,True,35375
0,61,cg,8,False,31958
1,156,certificate,2,True,31666
0,126,direct,0,False,7041
0,59,certificate,2,True,32208
0,2,cost_gated_certificate,614,False,1754292
4,159,cost_gated_certificate,264,False,768042
1,11,direct,0,False,7000
2,42,cost_gated_certificate,217,False,638792
0,200,cost_gated_certificate,2,True,34667
4,1,certificate,248,False,727833
1,208,direct,0,False,7209
0,170,cg,3,False,14708
0,105,cost_gated_certificate,540,False,1528542
3,23,interval_chebyshev,102,False,290292
4,97,cg,12,False,45459
2,64,certificate,393,False,1137625
4,143,interval_chebyshev,43,False,123041
4,45,certificate,62,False,200083
2,228,cg,2,False,11125
4,37,interval_chebyshev,248,False,698833
2,102,direct,0,False,7125
1,219,cg,6,False,24292
2,73,cg,8,False,31500
3,29,interval_chebyshev,2057,False,5885291
2,139,cg,2,False,10584
1,82,cost_gated_certificate,77,False,246708
0,89,direct,0,False,7458
4,68,cg,3,False,14625
3,80,cg,11,False,41000
2,100,cost_gated_certificate,2,True,35125
0,20,interval_chebyshev,250,False,706375
4,1,direct,0,False,7250
0,146,cg,7,False,28208
2,100,interval_chebyshev,248,False,701084
1,198,certificate,2,True,32208
4,227,certificate,2,True,33084
0,4,direct,0,False,7875
3,56,cg,1,False,10000
4,138,interval_chebyshev,109,False,307875
1,192,cost_gated_certificate,41,False,146833
3,76,cg,3,False,14542
3,32,certificate,2,True,31583
4,146,certificate,45,False,154250
0,226,certificate,2,True,33709
0,195,interval_chebyshev,40,False,117667
2,110,interval_chebyshev,73,False,206500
3,20,cost_gated_certificate,2,True,31833
2,137,certificate,211,False,618375
1,18,interval_chebyshev,832,False,2368792
4,110,certificate,73,False,229584
1,185,certificate,26,False,97000
2,199,direct,0,False,7292
1,106,cost_gated_certificate,272,False,795750
4,12,certificate,39,False,134541
4,145,direct,0,False,7125
4,0,cg,2,False,11500
1,59,interval_chebyshev,166,False,482625
2,48,interval_chebyshev,63,False,186875
0,25,direct,0,False,7833
0,63,certificate,475,False,1415500
0,167,certificate,2,True,37041
3,210,cg,1,False,8542
4,119,interval_chebyshev,1707,False,5163291
1,226,certificate,2,True,88166
3,185,cost_gated_certificate,26,False,114375
3,226,direct,0,False,12583
4,100,interval_chebyshev,248,False,737458
3,125,certificate,2,True,39041
4,162,direct,0,False,9458
1,152,interval_chebyshev,282,False,848084
4,31,cost_gated_certificate,2,True,37792
1,49,cg,9,False,42166
4,213,certificate,2,True,37541
1,72,certificate,324,False,987792
3,144,cg,10,False,42834
3,118,direct,0,False,9584
3,18,certificate,2,True,36666
0,180,certificate,18,False,84209
2,148,cost_gated_certificate,2,True,34792
0,172,cost_gated_certificate,27,False,109917
3,31,certificate,2,True,33583
3,9,direct,0,False,8667
1,58,interval_chebyshev,189,False,569375
2,226,direct,0,False,7458
2,27,direct,0,False,7917
0,116,cost_gated_certificate,13087,False,39228208
3,139,cost_gated_certificate,2,True,141875
4,148,interval_chebyshev,3639,False,10525167
3,215,direct,0,False,23583
3,35,certificate,2,True,57875
3,177,interval_chebyshev,37,False,110584
2,87,cost_gated_certificate,2,True,40625
3,52,cg,2,False,18583
1,101,cost_gated_certificate,449,False,1309209
2,78,interval_chebyshev,81,False,233000
3,81,direct,0,False,9958
2,180,cost_gated_certificate,18,False,53333
1,194,direct,0,False,7917
0,102,cg,7,False,29083
0,12,direct,0,False,7625
1,30,interval_chebyshev,1091,False,3116667
1,68,certificate,248,False,726500
1,33,cg,1,False,7958
1,162,cost_gated_certificate,16,False,48042
0,155,interval_chebyshev,108,False,303375
4,132,cg,1,False,7250
1,96,certificate,463,False,1317334
2,154,cg,1,False,7375
4,115,direct,0,False,7708
0,210,interval_chebyshev,1337,False,3772459
2,94,cg,10,False,38875
0,183,interval_chebyshev,16,False,47291
0,101,cg,5,False,20375
4,216,cg,2,False,9792
3,51,cg,3,False,13667
4,183,cg,4,False,16042
0,144,cost_gated_certificate,43,False,148625
4,106,certificate,272,False,777583
4,7,certificate,2,True,33417
0,43,direct,0,False,7667
4,93,cost_gated_certificate,172,False,496125
1,20,cg,1,False,7541
4,105,cg,3,False,13458
2,10,direct,0,False,7667
0,175,cg,3,False,13709
0,88,cg,2,False,9958
1,134,cost_gated_certificate,535,False,1515416
0,6,direct,0,False,7458
1,109,cost_gated_certificate,72,False,226750
2,125,cost_gated_certificate,2,True,32292
1,218,cg,3,False,14833
3,51,certificate,10664,False,30238666
0,15,cg,2,False,19625
1,19,certificate,2,True,58542
2,88,direct,0,False,13042
3,49,direct,0,False,8708
0,165,direct,0,False,7458
1,71,direct,0,False,7083
1,192,interval_chebyshev,41,False,119750
0,94,interval_chebyshev,328,False,912208
1,212,direct,0,False,7833
3,135,direct,0,False,6708
2,76,interval_chebyshev,80,False,223167
1,133,certificate,2,True,39833
1,221,cost_gated_certificate,2,True,35875
0,24,cg,1,False,9625
2,163,certificate,2,True,34208
3,115,cg,9,False,35708
0,222,certificate,2,True,33416
0,8,certificate,38,False,133583
2,47,interval_chebyshev,63,False,178542
0,107,interval_chebyshev,138,False,383625
3,1,certificate,248,False,724583
2,156,cost_gated_certificate,2,True,33083
2,162,direct,0,False,7333
4,200,interval_chebyshev,139,False,386166
3,220,cg,2,False,11417
1,213,cg,1,False,7000
0,116,cg,3,False,13333
4,16,certificate,2,True,32792
2,137,cost_gated_certificate,211,False,615583
0,70,cg,6,False,25250
1,131,certificate,468,False,1329792
1,119,direct,0,False,7833
0,182,cost_gated_certificate,16,False,47667
4,110,direct,0,False,7750
2,175,interval_chebyshev,37,False,104792
0,124,direct,0,False,6750
1,83,cg,3,False,15042
3,155,certificate,2,True,32292
