method,converged,failure,converged_stages,newton_updates,linear_systems,matrix_products,degree_two_acceptances,line_search_backtracks,maximum_linear_relative_residual,final_scaled_gradient,quadratic_objective,terminal_barrier_objective,maximum_control_fraction,feasibility_violation,solution_json,plant,horizon,state_index
cost_gated_certificate,True,,3,18,21,535,1,2,0.04547179167621513,1.37193037251305e-07,-7.515494397116007,-7.407790239376376,0.9491131438064474,0.0,"[0.9491131438064474,0.8486456251404518,-0.06723981457548553,-0.7348817684498788,-0.823898021680863,-0.838490203464923,-0.8264303424951193,-0.792884853141469,-0.7334380390369302,-0.641793803971629,-0.5205866012033009,-0.3894728161683965,-0.2725137788255468,-0.18150280584095932,-0.11624922322847181,-0.07165569648667605,-0.042114539802647816,-0.023023296372695744,-0.011016467297880481,-0.003810560454401595]",double_integrator,20,6
interval_chebyshev,True,,3,18,21,573,0,2,0.047881613955966754,1.37193037251305e-07,-7.515494397116007,-7.407790239376376,0.9491131438064474,0.0,"[0.9491131438064474,0.8486456251404518,-0.06723981457548553,-0.7348817684498788,-0.823898021680863,-0.838490203464923,-0.8264303424951193,-0.792884853141469,-0.7334380390369302,-0.641793803971629,-0.5205866012033009,-0.3894728161683965,-0.2725137788255468,-0.18150280584095932,-0.11624922322847181,-0.07165569648667605,-0.042114539802647816,-0.023023296372695744,-0.011016467297880481,-0.003810560454401595]",double_integrator,20,6
cg,True,,3,17,20,93,0,2,0.049397058723839274,1.709985693763743e-07,-7.515494682361613,-7.4077902393449,0.9491129571263546,0.0,"[0.9491129571263546,0.8486452908804331,-0.06723261669092076,-0.7348860172944899,-0.8238981969309043,-0.8384905617498842,-0.8264292919767944,-0.7928869223290445,-0.7334368720118077,-0.6418008141426912,-0.5205970805257346,-0.38945899808765977,-0.27251849683859275,-0.18151075668798927,-0.11623910240881247,-0.07164121104330462,-0.04211014596926443,-0.023029193682926396,-0.011024000849637465,-0.0038116645135455973]",double_integrator,20,6
direct,True,,3,18,21,0,0,2,0.0,3.894011330216724e-09,-7.5154943696396534,-7.4077902393765465,0.949113081449983,0.0,"[0.949113081449983,0.8486453490936579,-0.06723968121907535,-0.7348817229491169,-0.8238980013974806,-0.8384900653283889,-0.8264303993672382,-0.7928846116412389,-0.7334385370388053,-0.6417939085133368,-0.5205866751532587,-0.38947283511306446,-0.27251377271103766,-0.181502781014879,-0.11624918937651219,-0.07165566237417562,-0.042114511046129365,-0.023023276185361666,-0.011016455864794179,-0.0038105556663822716]",double_integrator,20,6
certificate,True,,3,33,36,1323,18,1,0.049210691210173005,1.5868554157953346e-07,-7.590990944847746,-7.368893234078598,0.9900712399746598,0.0,"[0.9900712399746598,0.9849606824303981,0.974772091269198,0.9492003044458096,0.8383204281842956,-0.2336378284462608,-0.7812772791140821,-0.8491915373705502,-0.8601467351584942,-0.8492623001921862,-0.8198902303397417,-0.7669949388480948,-0.6819600832144815,-0.5618510821875589,-0.42286191521542293,-0.29319971060948863,-0.19004619483093316,-0.11502285363797031,-0.0625674843015533,-0.026054137749065797]",double_integrator,20,7
cost_gated_certificate,True,,3,35,38,1748,17,0,0.04964280553476513,1.5868553927474688e-07,-7.590990944847743,-7.368893234078599,0.9900712399746598,0.0,"[0.9900712399746598,0.984960682430398,0.9747720912691978,0.9492003044457981,0.8383204281842885,-0.23363782844624736,-0.7812772791140827,-0.8491915373705448,-0.860146735158492,-0.8492623001921813,-0.8198902303397375,-0.7669949388480924,-0.6819600832144785,-0.5618510821875597,-0.42286191521542443,-0.29319971060948957,-0.19004619483093294,-0.11502285363797075,-0.06256748430155346,-0.02605413774906602]",double_integrator,20,7
interval_chebyshev,True,,3,34,37,20251,0,0,0.04964280553476513,2.668096231793659e-07,-7.590990756207528,-7.3688932340788735,0.9900712554372428,0.0,"[0.9900712554372428,0.9849606990706996,0.9747721337962206,0.9492000675095625,0.8383191151118201,-0.23363793151891404,-0.7812773649623647,-0.8491910173683489,-0.8601466241425738,-0.8492619247780203,-0.8198899591815867,-0.766994179641285,-0.6819596903208436,-0.5618510075519705,-0.42286179590148504,-0.29319967381915735,-0.1900462082090822,-0.11502289655857184,-0.06256753352810392,-0.0260541683362627]",double_integrator,20,7
cg,True,,3,34,37,182,0,1,0.04945796041722868,1.1547074404079874e-07,-7.590990679096557,-7.368893234075445,0.9900712280321999,0.0,"[0.9900712280321999,0.9849606570457289,0.9747720121113591,0.9491999826869585,0.8383183953919148,-0.23363405844747215,-0.7812775685354532,-0.8491918587199623,-0.8601468935040146,-0.8492613578033154,-0.8198891882469792,-0.766996767588956,-0.6819596494871021,-0.5618495828677402,-0.42286234382424953,-0.2931985917146005,-0.19005181297819504,-0.11502588055935166,-0.0625672318294128,-0.02605079537188967]",double_integrator,20,7
direct,True,,3,34,37,0,0,0,0.0,5.214348644128505e-07,-7.590990748366322,-7.368893234079212,0.9900712850006966,0.0,"[0.9900712850006966,0.9849606692649981,0.9747720429322363,0.9492000957143576,0.8383195160535291,-0.23363774795837028,-0.7812772075143694,-0.8491909207502264,-0.8601466013458141,-0.8492619862652507,-0.8198899797535564,-0.7669941363981516,-0.6819596446547964,-0.5618510592922088,-0.4228618577274514,-0.2931997398498133,-0.19004627165304055,-0.1150229505082976,-0.06256757257150818,-0.02605418826805646]",double_integrator,20,7
certificate,True,,3,30,33,5232,8,1,0.04856831112061852,8.321599086971727e-08,-92.80284536966121,-92.43977351818737,0.9960728559832168,0.0,"[-0.9960728559832168,-0.9948849288055767,-0.9930908075997461,-0.9902097387574257,-0.9851679769212572,-0.9751115652493905,-0.9498246485942738,-0.8392010830084202,0.2569171176647351,0.789736184346986,0.8546669146282694,0.8652795003090393,0.8550212646968763,0.8270970434884938,0.7765788339327871,0.6946095268621373,0.5768576801125853,0.4378917807737161,0.30667156113328353,0.20238440943636077,0.12776074235894347,0.07750567642923852,0.04497060079158248,0.024576330628444373,0.012210894774016509,0.0050120033974233105,0.0010503617104918115,-0.0009436967890854352,-0.0017871366512860732,-0.001992895992308876,-0.0018737539647342158,-0.001613426834387153,-0.0013143357498483325,-0.0010290915829567991,-0.000780810130179204,-0.0005758922098792039,-0.0004118034410578088,-0.0002815879743049213,-0.00017627856850700315,-8.596415299801037e-05]",double_integrator,40,0
cost_gated_certificate,True,,3,30,33,5232,8,1,0.04856831112061852,8.321599086971727e-08,-92.80284536966121,-92.43977351818737,0.9960728559832168,0.0,"[-0.9960728559832168,-0.9948849288055767,-0.9930908075997461,-0.9902097387574257,-0.9851679769212572,-0.9751115652493905,-0.9498246485942738,-0.8392010830084202,0.2569171176647351,0.789736184346986,0.8546669146282694,0.8652795003090393,0.8550212646968763,0.8270970434884938,0.7765788339327871,0.6946095268621373,0.5768576801125853,0.4378917807737161,0.30667156113328353,0.20238440943636077,0.12776074235894347,0.07750567642923852,0.04497060079158248,0.024576330628444373,0.012210894774016509,0.0050120033974233105,0.0010503617104918115,-0.0009436967890854352,-0.0017871366512860732,-0.001992895992308876,-0.0018737539647342158,-0.001613426834387153,-0.0013143357498483325,-0.0010290915829567991,-0.000780810130179204,-0.0005758922098792039,-0.0004118034410578088,-0.0002815879743049213,-0.00017627856850700315,-8.596415299801037e-05]",double_integrator,40,0
