system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,preconditioned_weyl_lower,preconditioned_weyl_upper,preconditioned_exact_lower,preconditioned_exact_upper,interval_chebyshev_degree,raw_gradient_norm,preconditioned_gradient_norm
1062,damped_oscillator,40,5,0,3,0.1,0.5079401261756715,478.34470135405525,0.5256975055813071,464.8258408251554,57,5.043723000682497,6.63823520273398
1063,damped_oscillator,40,5,0,4,0.1,0.5075188588961612,141.39333161900748,0.525445364483347,127.92525412365879,31,2.3870225929480187,3.141354517939719
1064,damped_oscillator,40,5,0,5,0.1,0.5070485721891659,52.475879820688334,0.5251527705437855,39.25145844870438,19,1.0625368519984935,1.39809418582529
1065,damped_oscillator,40,5,0,6,0.1,0.5065546197294111,28.055342128446746,0.5248479957932618,17.6274548576092,14,0.4145177079326501,0.545308506052411
1066,damped_oscillator,40,5,0,7,0.1,0.5061862054661769,21.062805773591663,0.5246234110848699,16.209463548444297,12,0.12177197653020418,0.1601750891933583
1067,damped_oscillator,40,5,0,8,0.1,0.5060147765704199,19.562682936874026,0.5245181015783843,16.098903545722997,12,0.01811609441457746,0.023829192992724197
1068,damped_oscillator,40,5,0,9,0.1,0.505981573644974,19.5626829797704,0.5244977508831119,16.08717774833908,12,0.0005923064062254851,0.0007790966427777769
1069,damped_oscillator,40,5,1,0,0.03,0.1923684517750751,16.04399102404736,0.20872244103100152,14.970800915718407,17,0.6822332807322127,0.9148923492840731
1070,damped_oscillator,40,5,1,1,0.03,0.18991703872956006,25.149675225621603,0.2049746961400881,16.903638812479116,22,0.25643808687594033,0.33884227096834946
1071,damped_oscillator,40,5,1,2,0.03,0.18980784233981396,20.217784391238578,0.20497969180202577,15.714740583610283,19,0.05597849891517079,0.07384260868432259
1072,damped_oscillator,40,5,1,3,0.03,0.1897691019839426,19.07938156179522,0.20497641309421288,15.566470725369655,19,0.004785304460411625,0.0063034160662893465
1073,damped_oscillator,40,5,1,4,0.03,0.1897647692076837,18.964263616133366,0.20497492483313764,15.556139087278638,19,7.152608049964098e-05,9.414392684769168e-05
1074,damped_oscillator,40,5,2,0,0.01,0.10189711342003244,16.011439257842,0.11590405372449909,14.83942532672569,24,0.3431832805638273,0.45769139623557387
1075,damped_oscillator,40,5,2,1,0.01,0.10147988398766991,35.06050704208696,0.11423399122357288,22.87577570223727,35,0.2559538998503101,0.3379887082909224
