repeat,system,method,products,accepted_degree_two,total_ns
1,205,interval_chebyshev,21,False,64542
0,84,direct,0,False,8750
1,166,cg,3,False,16000
2,115,cost_gated_certificate,22,False,91125
3,103,direct,0,False,8042
0,152,interval_chebyshev,100,False,286667
3,182,direct,0,False,7583
3,74,cost_gated_certificate,163,False,544417
4,212,certificate,2,True,113667
2,194,interval_chebyshev,54,False,163125
1,194,certificate,54,False,191958
4,89,interval_chebyshev,97,False,286875
4,83,cost_gated_certificate,4414,False,12864375
2,182,cg,10,False,60541
4,51,cg,3,False,17042
1,81,certificate,24,False,136875
2,129,cg,12,False,49084
3,89,interval_chebyshev,97,False,287583
3,214,cg,1,False,10167
0,209,certificate,2,True,47250
0,191,direct,0,False,12458
1,169,cg,5,False,23458
0,82,interval_chebyshev,26,False,78375
0,193,cg,10,False,39292
0,47,interval_chebyshev,24,False,75583
3,173,direct,0,False,9292
2,191,interval_chebyshev,51,False,148750
3,223,interval_chebyshev,607,False,1800625
4,217,cost_gated_certificate,2,True,41167
1,160,cost_gated_certificate,98,False,309625
3,134,cost_gated_certificate,341,False,1026542
2,82,interval_chebyshev,26,False,77292
3,148,interval_chebyshev,1280,False,3711417
2,227,cg,2,False,12000
3,2,certificate,467,False,1507542
0,65,cg,12,False,51209
3,102,cost_gated_certificate,406,False,1175833
1,28,cg,3,False,16250
4,41,cg,8,False,31458
2,99,certificate,30,False,111875
1,119,certificate,2,True,37375
2,94,direct,0,False,9667
3,103,cost_gated_certificate,279,False,802292
0,40,cg,9,False,36375
1,32,direct,0,False,8458
2,77,interval_chebyshev,23,False,68416
3,66,cost_gated_certificate,129,False,385084
3,81,cost_gated_certificate,24,False,91750
1,145,direct,0,False,7875
2,60,certificate,2,True,35292
0,84,cg,3,False,14333
4,135,cost_gated_certificate,357,False,1016542
4,49,cost_gated_certificate,24,False,92709
0,66,cost_gated_certificate,129,False,382208
1,97,interval_chebyshev,132,False,373708
2,87,direct,0,False,8000
3,119,cg,2,False,10792
4,130,cost_gated_certificate,173,False,506875
2,58,certificate,2,True,34375
1,174,certificate,20,False,81875
2,177,cost_gated_certificate,33,False,116500
1,91,cg,1,False,7250
1,18,cg,2,False,11375
2,6,interval_chebyshev,80,False,226459
2,63,cost_gated_certificate,153,False,450792
3,54,certificate,2,True,34250
0,18,direct,0,False,7458
4,179,direct,0,False,7791
1,164,direct,0,False,7042
2,106,cg,3,False,14625
3,210,cost_gated_certificate,2,True,34667
3,100,direct,0,False,7417
1,11,certificate,23,False,90958
4,195,certificate,54,False,175667
1,82,certificate,26,False,96542
1,214,certificate,2,True,34709
3,183,direct,0,False,7584
2,113,cg,8,False,32291
4,165,certificate,2,True,34833
1,10,cg,6,False,24792
0,175,cost_gated_certificate,31,False,111584
2,46,cost_gated_certificate,24,False,91708
4,121,interval_chebyshev,156,False,442041
1,55,cg,2,False,10500
4,107,cost_gated_certificate,97,False,294458
4,84,direct,0,False,7125
1,123,cg,1,False,6959
2,2,certificate,467,False,1328292
3,90,cost_gated_certificate,2,True,33750
3,193,direct,0,False,7417
3,1,interval_chebyshev,198,False,599584
1,221,direct,0,False,32666
4,60,interval_chebyshev,59,False,175584
1,102,cost_gated_certificate,406,False,1254625
0,137,cost_gated_certificate,133,False,418291
3,224,direct,0,False,10166
0,85,interval_chebyshev,976,False,2831958
3,73,cost_gated_certificate,377,False,1123208
0,177,certificate,33,False,126333
0,123,interval_chebyshev,71,False,211541
1,47,interval_chebyshev,24,False,75042
4,97,cost_gated_certificate,132,False,538584
2,21,cg,1,False,10750
3,198,cost_gated_certificate,426,False,1238625
3,16,certificate,2,True,34542
4,30,direct,0,False,7625
4,157,certificate,42,False,143417
3,127,interval_chebyshev,121,False,343458
4,223,direct,0,False,8209
2,102,interval_chebyshev,406,False,1200125
2,149,cg,2,False,25625
4,92,direct,0,False,25625
3,133,certificate,171,False,551875
0,109,direct,0,False,10209
3,195,interval_chebyshev,54,False,159666
1,83,certificate,4414,False,12668750
3,172,certificate,19,False,104834
4,123,cost_gated_certificate,2,True,52375
2,161,certificate,97,False,407209
3,62,certificate,102,False,322334
4,81,cg,8,False,33583
4,146,cost_gated_certificate,18,False,53167
3,192,interval_chebyshev,54,False,153709
1,161,cg,10,False,38417
1,106,cg,3,False,13750
2,40,cg,9,False,33875
1,189,cost_gated_certificate,38,False,131959
4,226,cg,1,False,7000
2,65,cg,12,False,45000
3,111,direct,0,False,7584
4,178,cg,2,False,10625
0,12,cg,7,False,27291
1,54,certificate,2,True,34667
0,74,direct,0,False,7459
4,80,certificate,24,False,92792
0,222,cost_gated_certificate,2,True,33833
2,91,cost_gated_certificate,2,True,33875
0,210,cost_gated_certificate,2,True,33250
0,51,cost_gated_certificate,4344,False,12298291
0,53,interval_chebyshev,928,False,2803708
4,76,certificate,2,True,86334
4,172,certificate,19,False,86500
3,159,interval_chebyshev,110,False,358750
3,13,interval_chebyshev,23,False,71708
1,67,direct,0,False,22250
1,183,certificate,26,False,118000
4,161,interval_chebyshev,97,False,280292
3,16,cg,2,False,15166
1,15,cg,2,False,10750
2,160,direct,0,False,9583
3,66,interval_chebyshev,129,False,367334
3,90,certificate,2,True,42834
3,129,certificate,181,False,535084
1,77,certificate,25,False,103959
3,156,direct,0,False,8625
3,65,direct,0,False,7417
1,110,certificate,21,False,86833
0,92,cg,1,False,7583
1,123,cost_gated_certificate,2,True,35125
0,156,cost_gated_certificate,2,True,34750
4,139,direct,0,False,8625
4,194,cg,11,False,43333
3,88,direct,0,False,7333
3,115,interval_chebyshev,22,False,64875
3,35,cg,1,False,8084
4,4,cg,4,False,18333
0,215,cg,2,False,10750
3,160,interval_chebyshev,98,False,277917
1,84,cg,3,False,14292
3,201,certificate,2,True,35833
1,222,interval_chebyshev,1168,False,3314083
1,125,certificate,2,True,35542
3,55,certificate,2,True,35334
1,48,direct,0,False,7917
2,171,interval_chebyshev,12,False,37208
3,58,cg,1,False,7250
0,177,cg,6,False,24542
2,13,cg,7,False,27000
2,99,cost_gated_certificate,30,False,111000
4,60,cost_gated_certificate,2,True,34125
0,151,cg,1,False,7541
4,9,direct,0,False,8042
1,145,cg,6,False,25000
4,189,certificate,38,False,132000
4,116,interval_chebyshev,4007,False,11451834
2,135,cg,5,False,32292
4,153,interval_chebyshev,62,False,178208
2,18,interval_chebyshev,434,False,1229583
3,49,cg,8,False,33208
1,140,direct,0,False,24875
3,69,cg,7,False,30500
2,128,cg,12,False,48250
0,49,direct,0,False,9250
2,129,direct,0,False,7459
3,120,cost_gated_certificate,2,True,55417
3,171,cg,5,False,21792
0,82,cost_gated_certificate,26,False,111000
3,105,direct,0,False,8416
3,205,certificate,21,False,87084
1,130,cg,13,False,49250
1,50,cost_gated_certificate,28,False,107000
4,195,direct,0,False,7833
0,7,cost_gated_certificate,43,False,148708
1,174,cg,5,False,21500
1,103,cost_gated_certificate,279,False,797417
4,215,cg,2,False,10500
0,151,certificate,2,True,35417
0,35,cost_gated_certificate,2,True,37166
0,73,cg,6,False,25625
3,150,cost_gated_certificate,2,True,37292
3,113,direct,0,False,10417
1,80,certificate,24,False,93458
4,128,cg,12,False,45125
3,47,direct,0,False,7958
1,81,cost_gated_certificate,24,False,92167
0,118,interval_chebyshev,1011,False,3014125
0,134,cost_gated_certificate,341,False,981792
4,203,certificate,23,False,96125
0,114,interval_chebyshev,20,False,59125
4,184,cg,11,False,46625
0,34,cg,1,False,7334
4,173,interval_chebyshev,20,False,57625
3,155,interval_chebyshev,40,False,113542
4,89,cost_gated_certificate,2,True,37167
2,218,cost_gated_certificate,2,True,34375
3,152,cg,1,False,7333
0,34,direct,0,False,8916
3,21,cost_gated_certificate,2,True,34583
1,120,direct,0,False,7625
2,112,cg,7,False,31875
0,99,cg,4,False,20041
0,136,direct,0,False,6958
2,209,interval_chebyshev,1688,False,4775208
1,97,cost_gated_certificate,132,False,437667
0,102,interval_chebyshev,406,False,1158917
2,214,cg,1,False,14084
2,41,interval_chebyshev,365,False,1099541
3,155,cost_gated_certificate,2,True,53958
4,87,cost_gated_certificate,2,True,39292
4,72,cost_gated_certificate,269,False,795208
1,189,certificate,38,False,132417
3,110,certificate,21,False,83583
3,217,cost_gated_certificate,2,True,34792
3,126,interval_chebyshev,62,False,178250
3,152,interval_chebyshev,100,False,281583
3,41,certificate,365,False,1043708
2,157,direct,0,False,8917
2,19,direct,0,False,7625
2,24,cg,1,False,8708
2,79,interval_chebyshev,24,False,70541
4,109,direct,0,False,7458
2,49,cg,8,False,34833
3,41,cost_gated_certificate,365,False,1041583
1,172,direct,0,False,7875
4,11,interval_chebyshev,23,False,67417
2,181,cost_gated_certificate,27,False,101583
4,3,cost_gated_certificate,471,False,1344583
1,143,interval_chebyshev,14,False,41958
3,143,interval_chebyshev,14,False,41083
3,5,certificate,157,False,465917
2,220,cg,2,False,13334
0,67,interval_chebyshev,30,False,86958
3,19,cg,1,False,6541
4,219,cg,6,False,24084
3,107,cg,3,False,16041
1,1,interval_chebyshev,198,False,554875
4,129,cg,12,False,44625
1,197,cost_gated_certificate,203,False,596625
3,109,cg,4,False,17292
1,129,cost_gated_certificate,181,False,528083
3,158,interval_chebyshev,73,False,209666
1,13,interval_chebyshev,23,False,66208
2,78,cg,4,False,17709
0,35,interval_chebyshev,137,False,388500
