method,converged,failure,newton_updates,linear_systems,matrix_products,degree_two_acceptances,line_search_backtracks,maximum_preconditioned_relative_residual,maximum_original_relative_residual,final_scaled_gradient,quadratic_objective,maximum_control_fraction,feasibility_violation,solution_json,plant,horizon,state_index,relative_objective_gap_to_direct,relative_solution_distance_to_direct
certificate,True,,19,22,813,1,2,0.04550047957173956,0.04760222518523325,1.1027659328199948e-07,-7.515494627148307,0.9491130593453294,0.0,"[0.9491130593453294,0.8486473532418298,-0.06723946628356908,-0.7348819565490031,-0.823900957752841,-0.8384899867894502,-0.826430359296867,-0.7928845109521724,-0.7334385654012544,-0.6417937921457976,-0.5205865176906117,-0.389472575091407,-0.2725133245520396,-0.18150304525533645,-0.11624928987819702,-0.0716556098077835,-0.042114589885944076,-0.023023045618110798,-0.01101607319275716,-0.003811003290678622]",double_integrator,20,6,3.4263701089815994e-08,1.466202625868058e-06
cost_gated_certificate,True,,19,22,813,1,2,0.04550047957173956,0.04760222518523325,1.1027659328199948e-07,-7.515494627148307,0.9491130593453294,0.0,"[0.9491130593453294,0.8486473532418298,-0.06723946628356908,-0.7348819565490031,-0.823900957752841,-0.8384899867894502,-0.826430359296867,-0.7928845109521724,-0.7334385654012544,-0.6417937921457976,-0.5205865176906117,-0.389472575091407,-0.2725133245520396,-0.18150304525533645,-0.11624928987819702,-0.0716556098077835,-0.042114589885944076,-0.023023045618110798,-0.01101607319275716,-0.003811003290678622]",double_integrator,20,6,3.4263701089815994e-08,1.466202625868058e-06
interval_chebyshev,True,,18,21,812,0,2,0.0455004795728429,0.04760222518877751,1.1027659461321376e-07,-7.5154946271483105,0.9491130593453292,0.0,"[0.9491130593453292,0.8486473532418543,-0.0672394662835639,-0.7348819565490124,-0.8239009577528769,-0.8384899867894482,-0.8264303592968646,-0.792884510952171,-0.7334385654012563,-0.6417937921457935,-0.5205865176906033,-0.3894725750914048,-0.2725133245520372,-0.18150304525534106,-0.11624928987820173,-0.07165560980778204,-0.04211458988594605,-0.02302304561810599,-0.011016073192754142,-0.00381100329068352]",double_integrator,20,6,3.4263701562534554e-08,1.4662026439403031e-06
cg,True,,18,21,197,0,2,0.048994378347365,0.05372485309062952,8.574389685169099e-08,-7.515494425983174,0.9491130207093184,0.0,"[0.9491130207093184,0.8486475887130074,-0.06724221137930003,-0.7348830828953178,-0.8238977281388433,-0.8384892125704636,-0.8264300578856943,-0.792884159934182,-0.7334380684301278,-0.6417934705095499,-0.5205865507835443,-0.3894732576325142,-0.272514129261674,-0.18150369058221527,-0.11624933220180755,-0.07165812449991986,-0.04211244844195794,-0.02302135468691741,-0.011016738863524453,-0.003810693855779914]",double_integrator,20,6,7.496981209830802e-09,2.174811539244722e-06
direct,True,,18,21,0,0,2,0.0,0.0,3.894011412434136e-09,-7.515494369639654,0.9491130814499827,0.0,"[0.9491130814499827,0.8486453490936564,-0.06723968121906507,-0.7348817229491229,-0.8238980013974799,-0.838490065328392,-0.8264303993672399,-0.7928846116412379,-0.7334385370388056,-0.6417939085133367,-0.5205866751532615,-0.38947283511306663,-0.27251377271103255,-0.18150278101487918,-0.11624918937650841,-0.07165566237417957,-0.04211451104612808,-0.023023276185362013,-0.011016455864794225,-0.0038105556663819533]",double_integrator,20,6,0.0,0.0
certificate,True,,36,39,1445,18,0,0.04965891489887125,0.06254187525365136,1.454978448327454e-07,-7.590990801033259,0.9900712483806596,0.0,"[0.9900712483806596,0.984960696012549,0.974772071135533,0.9492003707716864,0.8383205337181838,-0.23364093557897764,-0.781276101142935,-0.8491904783914602,-0.8601465302761542,-0.8492621407123447,-0.8198904032232311,-0.7669938636697406,-0.6819594586663767,-0.5618509651390782,-0.4228617435212579,-0.2931997044726658,-0.19004609770980785,-0.11502305101407709,-0.06256687352641,-0.026053002491597328]",double_integrator,20,7,6.938084559361354e-09,1.241571166160591e-06
cost_gated_certificate,True,,36,39,1445,18,0,0.04965891489887125,0.06254187525365136,1.454978448327454e-07,-7.590990801033259,0.9900712483806596,0.0,"[0.9900712483806596,0.984960696012549,0.974772071135533,0.9492003707716864,0.8383205337181838,-0.23364093557897764,-0.781276101142935,-0.8491904783914602,-0.8601465302761542,-0.8492621407123447,-0.8198904032232311,-0.7669938636697406,-0.6819594586663767,-0.5618509651390782,-0.4228617435212579,-0.2931997044726658,-0.19004609770980785,-0.11502305101407709,-0.06256687352641,-0.026053002491597328]",double_integrator,20,7,6.938084559361354e-09,1.241571166160591e-06
interval_chebyshev,True,,34,37,14264,0,0,0.04989036844702004,0.0628926424306828,5.651390586541244e-06,-7.590991399380988,0.9900717755498379,0.0,"[0.9900717755498379,0.9849609651966041,0.9747718740758005,0.9492000951905909,0.8383196188035522,-0.2336386078442163,-0.7812770356906936,-0.849191111034163,-0.8601466463487547,-0.8492619741028679,-0.8198900258159253,-0.7669942843770644,-0.6819597529286383,-0.5618511379043646,-0.42286196557100053,-0.2931997593430715,-0.19004628008193125,-0.11502331676176239,-0.06256719111367527,-0.02605383648280362]",double_integrator,20,7,8.576148831943868e-08,4.0993696220766386e-07
cg,True,,37,40,236,0,0,0.04981896032276649,0.07348469124139266,1.2618681582877836e-07,-7.590990763299311,0.9900712296354701,0.0,"[0.9900712296354701,0.9849606607774434,0.9747720223243178,0.9492001253866345,0.8383174674596097,-0.23363281690429222,-0.7812770505875758,-0.8491929700357466,-0.860147395691207,-0.8492625984236634,-0.8198903696827744,-0.7669941388330668,-0.6819598669166548,-0.5618509326813395,-0.4228613174476171,-0.2931986003252034,-0.19004582942424592,-0.11502221048240162,-0.06257019067906498,-0.026053918056410833]",double_integrator,20,7,1.9671988379847463e-09,2.1097178522334235e-06
direct,True,,34,37,0,0,0,0.0,0.0,5.214348645014599e-07,-7.590990748366323,0.9900712850006966,0.0,"[0.9900712850006966,0.9849606692649981,0.9747720429322363,0.9492000957143576,0.8383195160535302,-0.23363774795837144,-0.7812772075143702,-0.8491909207502261,-0.8601466013458134,-0.849261986265251,-0.8198899797535576,-0.7669941363981488,-0.6819596446547954,-0.5618510592922116,-0.4228618577274537,-0.29319973984980946,-0.19004627165304172,-0.11502295050829743,-0.06256757257150812,-0.026054188268056527]",double_integrator,20,7,0.0,0.0
