system,method,products,accepted_degree_two,preconditioned_relative_residual,original_relative_residual,original_residual_norm,original_gradient_norm
243,direct,0,False,0.0,2.973261661124685e-15,2.9692644899658413e-19,9.986556275180531e-05
244,certificate,129,False,0.033892627297297646,0.01443908804797359,0.04339148945342748,3.005140581542276
244,cost_gated_certificate,129,False,0.033892627297297646,0.01443908804797359,0.04339148945342748,3.005140581542276
244,interval_chebyshev,129,False,0.033892627297297646,0.01443908804797359,0.04339148945342748,3.005140581542276
244,cg,14,False,0.03525736442626399,0.02035643356734739,0.061173944608705046,3.005140581542276
244,direct,0,False,0.0,2.0327200903850016e-15,6.108609634532252e-15,3.005140581542276
245,certificate,2,True,0.023548571645313526,0.02170286524970934,3.7184536882181507,171.33468993307005
245,cost_gated_certificate,2,True,0.023548571645313526,0.02170286524970934,3.7184536882181507,171.33468993307005
245,interval_chebyshev,4389,False,0.0486692090036183,0.048679561012051877,8.340497492077874,171.33468993307005
245,cg,2,False,0.024459686166198893,0.022640417599872755,3.879088929429421,171.33468993307005
245,direct,0,False,0.0,1.6765877500878983e-16,2.872576423068936e-14,171.33468993307005
246,certificate,2,True,0.01904668684123024,0.017254294917560673,1.4703994990047071,85.21933269543216
246,cost_gated_certificate,2,True,0.01904668684123024,0.017254294917560673,1.4703994990047071,85.21933269543216
246,interval_chebyshev,2229,False,0.032127240742919866,0.03212064251373355,2.7372997207689016,85.21933269543216
246,cg,2,False,0.0195944075261607,0.017792993460445407,1.5163070293533458,85.21933269543216
246,direct,0,False,0.0,1.587633084386306e-17,1.3529703201659175e-15,85.21933269543216
247,certificate,2,True,0.014917987142998058,0.011203418507584635,0.47089863374980967,42.03169179398365
247,cost_gated_certificate,2,True,0.014917987142998058,0.011203418507584635,0.47089863374980967,42.03169179398365
247,interval_chebyshev,1167,False,0.0446448964471121,0.044650223063834066,1.8767244143516937,42.03169179398365
247,cg,2,False,0.015272861407574423,0.011388461723015633,0.47867631314937303,42.03169179398365
247,direct,0,False,0.0,6.1637148908058e-18,2.5907136459633695e-16,42.03169179398365
248,certificate,2,True,0.012630527834310184,0.007690674412006338,0.1569657776680237,20.409884654975865
248,cost_gated_certificate,2,True,0.012630527834310184,0.007690674412006338,0.1569657776680237,20.409884654975865
248,interval_chebyshev,615,False,0.04854255288532725,0.048536956578409236,0.9906336852689046,20.409884654975865
248,cg,2,False,0.013040137610764613,0.0079543913235147,0.16234820941347583,20.409884654975865
248,direct,0,False,0.0,6.966292911307255e-16,1.4218123479255708e-14,20.409884654975865
