actual_squared_residual,actual_to_chebyshev_actual,atomic_pattern,certificate,certificate_to_actual,certificate_to_chebyshev_bound,chebyshev_interval_bound,coverage_slack,covered,degree,design_value,family,name,raw_certificate_excess,scaled_certificate_excess,solver,source
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,2.2902129259568233e-10,0.14904497585810386,6.836813852828962e-11,True,8,nan,two_point,two_point_k100_1,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
0.0,0.0,True,3.412026217120001e-11,3.412026217120001e+289,3.991767612312196e-11,0.8547657450288332,6.836813852828962e-11,True,2,nan,two_point,two_point_k100_2,-3.412026217120001e-11,-0.4990667130286369,analytic,heldout_synthetic
0.0,0.0,True,3.412026217120001e-11,3.412026217120001e+289,4.805403173319664e-11,0.710039531347566,6.836813852828962e-11,True,3,nan,two_point,two_point_k100_2,-3.412026217120001e-11,-0.4990667130286369,analytic,heldout_synthetic
0.0,0.0,True,3.412026217120001e-11,3.412026217120001e+289,6.12500997232483e-11,0.5570645978597355,6.836813852828962e-11,True,4,nan,two_point,two_point_k100_2,-3.412026217120001e-11,-0.4990667130286369,analytic,heldout_synthetic
0.0,0.0,True,3.412026217120001e-11,3.412026217120001e+289,1.1261600189742107e-10,0.3029788093727502,6.836813852828962e-11,True,6,nan,two_point,two_point_k100_2,-3.412026217120001e-11,-0.4990667130286369,analytic,heldout_synthetic
0.0,0.0,True,3.412026217120001e-11,3.412026217120001e+289,2.2892594651217039e-10,0.14904497585810386,6.836813852828962e-11,True,8,nan,two_point,two_point_k100_2,-3.412026217120001e-11,-0.4990667130286369,analytic,heldout_synthetic
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,3.993430156090752e-11,0.8547657450288332,6.836813852828962e-11,True,2,nan,two_point,two_point_k100_3,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,4.807404590717965e-11,0.710039531347566,6.836813852828962e-11,True,3,nan,two_point,two_point_k100_3,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,6.127560996886398e-11,0.5570645978597355,6.836813852828962e-11,True,4,nan,two_point,two_point_k100_3,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
0.0,0.0,True,3.413447302591521e-11,3.4134473025915214e+289,1.126629056882988e-10,0.3029788093727502,6.836813852828962e-11,True,6,nan,two_point,two_point_k100_3,-3.413447302591521e-11,-0.49927457088495875,analytic,heldout_synthetic
