actual_relative_residual,bb1_converged,bb1_final_residual,bb1_products,bb1_reductions,bb2_converged,bb2_final_residual,bb2_products,bb2_reductions,certificate_passed,certified_squared_residual,cg_converged,cg_final_residual,cg_products,cg_reductions,chebyshev_budget,collective_reductions,condition,converged,coverage_slack,covered,design_seconds,dimension,family,hessian_product_saving,hessian_products,minres_converged,minres_final_residual,minres_products,minres_reductions,name,point_residual_relative_discrepancy,raw_certificate_excess,scaled_certificate_excess,selected_degree,source,spectral_recurrence_squared_discrepancy,tolerance
8.571856189316173e-16,True,8.514894435467929e-07,16,16,True,2.985934637099395e-07,18,18,True,4.605205106145149e-13,True,1.4618226008993792e-15,3,6,23,1,10.0,True,8.495816745776131e-13,True,0.0025087909307330847,384,three_point,0.8695652173913043,3,True,5.236997840695623e-15,3,6,three_point_k10_0,4.1869258646994426e-16,-4.605205106145149e-13,-0.5420556073593185,3,heldout_synthetic,6.615135047643724e-31,1e-06
4.30130460361264e-16,True,0.0012119910303108612,9,9,True,0.007466724663962243,9,9,True,4.594102875898898e-13,True,7.465527774659173e-16,3,6,9,1,10.0,True,8.495816745776159e-13,True,0.002503792056813836,384,three_point,0.6666666666666667,3,True,9.881942149479567e-16,3,6,three_point_k10_1,4.984641864137354e-16,-4.594102875898898e-13,-0.5407488194920088,3,heldout_synthetic,2.454745818557081e-32,0.01
4.30130460361264e-16,True,4.553507937109611e-05,11,11,True,8.074937278489537e-05,11,11,True,4.594102875898898e-13,True,7.465527774659173e-16,3,6,16,1,10.0,True,8.495816745776159e-13,True,0.002503792056813836,384,three_point,0.8125,3,True,9.881942149479567e-16,3,6,three_point_k10_1,4.984641864137354e-16,-4.594102875898898e-13,-0.5407488194920088,3,heldout_synthetic,2.454745818557081e-32,0.0001
4.30130460361264e-16,True,1.6227670689103346e-07,13,13,True,6.156513287384948e-07,16,16,True,4.594102875898898e-13,True,7.465527774659173e-16,3,6,23,1,10.0,True,8.495816745776159e-13,True,0.002503792056813836,384,three_point,0.8695652173913043,3,True,9.881942149479567e-16,3,6,three_point_k10_1,4.984641864137354e-16,-4.594102875898898e-13,-0.5407488194920088,3,heldout_synthetic,2.454745818557081e-32,1e-06
1.186023786275774e-15,True,0.00896724023765553,7,7,True,0.0092455492257733,9,9,True,4.578559753554146e-13,True,2.2884135440144317e-15,3,6,9,1,10.0,True,8.495816745776103e-13,True,0.00256341602653265,384,three_point,0.6666666666666667,3,True,4.094076944171395e-15,3,6,three_point_k10_2,3.905907402978222e-16,-4.578559753554146e-13,-0.5389193164777814,3,heldout_synthetic,2.2198326968547795e-31,0.01
1.186023786275774e-15,True,8.12247035583779e-06,14,14,True,3.052855264300567e-05,15,15,True,4.578559753554146e-13,True,2.2884135440144317e-15,3,6,16,1,10.0,True,8.495816745776103e-13,True,0.00256341602653265,384,three_point,0.8125,3,True,4.094076944171395e-15,3,6,three_point_k10_2,3.905907402978222e-16,-4.578559753554146e-13,-0.5389193164777814,3,heldout_synthetic,2.2198326968547795e-31,0.0001
1.186023786275774e-15,True,8.833332091474685e-08,17,17,True,3.611513323567558e-07,17,17,True,4.578559753554146e-13,True,2.2884135440144317e-15,3,6,23,1,10.0,True,8.495816745776103e-13,True,0.00256341602653265,384,three_point,0.8695652173913043,3,True,4.094076944171395e-15,3,6,three_point_k10_2,3.905907402978222e-16,-4.578559753554146e-13,-0.5389193164777814,3,heldout_synthetic,2.2198326968547795e-31,1e-06
4.229753610392913e-16,True,0.003872111260514587,9,9,False,0.012035211331252384,9,9,True,4.576339307504895e-13,True,8.548387383006978e-16,3,6,9,1,10.0,True,8.49581674577616e-13,True,0.0024850000627338886,384,three_point,0.6666666666666667,3,True,1.2754130558588352e-15,3,6,three_point_k10_3,2.9511567761362234e-16,-4.576339307504895e-13,-0.5386579589043161,3,heldout_synthetic,1.0543371936121994e-31,0.01
4.229753610392913e-16,True,2.061186281987581e-06,13,13,True,5.415767395163726e-06,16,16,True,4.576339307504895e-13,True,8.548387383006978e-16,3,6,16,1,10.0,True,8.49581674577616e-13,True,0.0024850000627338886,384,three_point,0.8125,3,True,1.2754130558588352e-15,3,6,three_point_k10_3,2.9511567761362234e-16,-4.576339307504895e-13,-0.5386579589043161,3,heldout_synthetic,1.0543371936121994e-31,0.0001
4.229753610392913e-16,True,1.624485601606658e-07,16,16,True,8.658486346392217e-07,18,18,True,4.576339307504895e-13,True,8.548387383006978e-16,3,6,23,1,10.0,True,8.49581674577616e-13,True,0.0024850000627338886,384,three_point,0.8695652173913043,3,True,1.2754130558588352e-15,3,6,three_point_k10_3,2.9511567761362234e-16,-4.576339307504895e-13,-0.5386579589043161,3,heldout_synthetic,1.0543371936121994e-31,1e-06
